Task_ID,Success,Latency_ms,Bytes,Attempts,Error
1,True,951.92,1048576,1,
4,True,908.52,1048576,1,
2,True,942.11,1048576,1,
5,True,899.28,1048576,1,
3,True,939.30,1048576,1,
8,True,798.63,1048576,1,
6,True,902.57,1048576,1,
7,True,800.96,1048576,1,
9,True,840.94,1048576,1,
11,True,835.89,1048576,1,
12,True,838.08,1048576,1,
16,True,823.75,1048576,1,
14,True,834.88,1048576,1,
15,True,831.69,1048576,1,
13,True,843.59,1048576,1,
10,True,855.47,1048576,1,
18,True,829.40,1048576,1,
21,True,840.38,1048576,1,
19,True,847.13,1048576,1,
24,True,836.76,1048576,1,
22,True,846.26,1048576,1,
17,True,862.62,1048576,1,
20,True,857.54,1048576,1,
23,True,856.88,1048576,1,
25,True,878.05,1048576,1,
29,True,854.74,1048576,1,
27,True,862.69,1048576,1,
30,True,856.52,1048576,1,
26,True,873.14,1048576,1,
28,True,871.82,1048576,1,
31,True,867.38,1048576,1,
32,True,862.62,1048576,1,
36,True,899.54,1048576,1,
33,True,912.19,1048576,1,
34,True,913.14,1048576,1,
37,True,906.50,1048576,1,
39,True,903.90,1048576,1,
35,True,931.37,1048576,1,
40,True,960.73,1048576,1,
38,True,1011.31,1048576,1,
44,True,625.74,1048576,1,
42,True,638.19,1048576,1,
41,True,643.84,1048576,1,
46,True,618.36,1048576,1,
45,True,631.99,1048576,1,
43,True,645.67,1048576,1,
47,True,579.71,1048576,1,
48,True,543.77,1048576,1,
50,True,802.62,1048576,1,
53,True,796.49,1048576,1,
52,True,802.85,1048576,1,
49,True,813.84,1048576,1,
55,True,797.87,1048576,1,
51,True,816.34,1048576,1,
56,True,797.66,1048576,1,
54,True,813.97,1048576,1,
61,True,857.47,1048576,1,
58,True,868.45,1048576,1,
57,True,873.84,1048576,1,
62,True,861.55,1048576,1,
60,True,871.90,1048576,1,
63,True,863.37,1048576,1,
59,True,879.51,1048576,1,
64,True,867.42,1048576,1,
66,True,855.60,1048576,1,
65,True,861.40,1048576,1,
71,True,847.28,1048576,1,
69,True,856.29,1048576,1,
72,True,846.86,1048576,1,
68,True,867.99,1048576,1,
67,True,873.56,1048576,1,
70,True,867.19,1048576,1,
79,True,797.25,1048576,1,
74,True,817.86,1048576,1,
77,True,811.04,1048576,1,
75,True,820.22,1048576,1,
76,True,819.81,1048576,1,
80,True,810.24,1048576,1,
73,True,837.91,1048576,1,
78,True,823.00,1048576,1,
81,True,633.90,1048576,1,
88,True,613.87,1048576,1,
85,True,629.81,1048576,1,
84,True,635.95,1048576,1,
87,True,629.47,1048576,1,
86,True,638.08,1048576,1,
82,True,657.49,1048576,1,
83,True,658.81,1048576,1,
92,True,962.42,1048576,1,
91,True,967.88,1048576,1,
95,True,949.18,1048576,1,
90,True,976.42,1048576,1,
94,True,962.80,1048576,1,
96,True,952.48,1048576,1,
89,True,985.74,1048576,1,
93,True,970.61,1048576,1,
99,True,987.52,1048576,1,
102,True,986.80,1048576,1,
97,True,1006.80,1048576,1,
101,True,1001.82,1048576,1,
100,True,1010.52,1048576,1,
104,True,1007.86,1048576,1,
98,True,1023.72,1048576,1,
103,True,1016.20,1048576,1,
108,True,959.45,1048576,1,
112,True,944.72,1048576,1,
107,True,968.86,1048576,1,
110,True,957.27,1048576,1,
111,True,956.20,1048576,1,
105,True,992.94,1048576,1,
109,True,968.68,1048576,1,
106,True,990.29,1048576,1,
113,True,764.49,1048576,1,
116,True,765.66,1048576,1,
118,True,767.02,1048576,1,
115,True,778.76,1048576,1,
117,True,776.21,1048576,1,
120,True,772.11,1048576,1,
114,True,793.71,1048576,1,
119,True,787.41,1048576,1,
126,True,1037.19,1048576,1,
128,True,1027.83,1048576,1,
122,True,1058.63,1048576,1,
127,True,1039.54,1048576,1,
121,True,1070.68,1048576,1,
123,True,1061.08,1048576,1,
125,True,1058.21,1048576,1,
