Task_ID,Success,Latency_ms,Bytes,Attempts,Error
5,True,89.03,1048576,1,
1,True,119.44,1048576,1,
8,True,40.35,1048576,1,
4,True,179.67,1048576,1,
11,True,79.74,1048576,1,
3,True,186.26,1048576,1,
9,True,85.67,1048576,1,
7,True,127.77,1048576,1,
2,True,198.62,1048576,1,
6,True,166.78,1048576,1,
10,True,90.22,1048576,1,
12,True,67.14,1048576,1,
19,True,74.22,1048576,1,
17,True,78.86,1048576,1,
15,True,83.12,1048576,1,
13,True,87.53,1048576,1,
16,True,84.98,1048576,1,
18,True,83.57,1048576,1,
14,True,91.89,1048576,1,
22,True,60.34,1048576,1,
23,True,71.95,1048576,1,
24,True,72.21,1048576,1,
25,True,103.02,1048576,1,
20,True,128.18,1048576,1,
27,True,106.47,1048576,1,
29,True,42.67,1048576,1,
28,True,57.44,1048576,1,
21,True,121.39,1048576,1,
30,True,45.90,1048576,1,
26,True,117.05,1048576,1,
32,True,89.70,1048576,1,
31,True,92.51,1048576,1,
38,True,78.46,1048576,1,
37,True,81.37,1048576,1,
33,True,88.75,1048576,1,
35,True,86.90,1048576,1,
34,True,89.62,1048576,1,
36,True,88.97,1048576,1,
41,True,61.12,1048576,1,
43,True,59.95,1048576,1,
40,True,65.07,1048576,1,
39,True,67.59,1048576,1,
46,True,59.01,1048576,1,
42,True,135.73,1048576,1,
45,True,133.47,1048576,1,
44,True,136.04,1048576,1,
48,True,78.21,1048576,1,
51,True,75.43,1048576,1,
47,True,82.08,1048576,1,
49,True,82.14,1048576,1,
50,True,82.71,1048576,1,
54,True,107.93,1048576,1,
52,True,112.13,1048576,1,
59,True,102.92,1048576,1,
53,True,113.81,1048576,1,
56,True,110.85,1048576,1,
58,True,108.10,1048576,1,
57,True,112.17,1048576,1,
55,True,116.64,1048576,1,
64,True,118.45,1048576,1,
61,True,124.78,1048576,1,
67,True,118.91,1048576,1,
66,True,122.60,1048576,1,
63,True,128.06,1048576,1,
62,True,131.37,1048576,1,
60,True,136.65,1048576,1,
65,True,132.57,1048576,1,
69,True,134.03,1048576,1,
74,True,125.89,1048576,1,
71,True,133.02,1048576,1,
72,True,132.79,1048576,1,
70,True,137.61,1048576,1,
75,True,128.81,1048576,1,
73,True,135.23,1048576,1,
68,True,147.06,1048576,1,
76,True,132.43,1048576,1,
79,True,130.08,1048576,1,
78,True,132.93,1048576,1,
81,True,130.25,1048576,1,
82,True,129.60,1048576,1,
77,True,138.00,1048576,1,
83,True,130.64,1048576,1,
80,True,136.89,1048576,1,
90,True,121.74,1048576,1,
91,True,121.46,1048576,1,
89,True,125.49,1048576,1,
85,True,132.07,1048576,1,
87,True,163.49,1048576,1,
88,True,163.62,1048576,1,
86,True,167.42,1048576,1,
84,True,171.81,1048576,1,
93,True,53.83,1048576,1,
94,True,60.12,1048576,1,
92,True,64.07,1048576,1,
95,True,61.92,1048576,1,
97,True,27.78,1048576,1,
99,True,26.83,1048576,1,
100,True,91.12,1048576,1,
102,True,83.75,1048576,1,
103,True,83.34,1048576,1,
96,True,113.01,1048576,1,
104,True,84.64,1048576,1,
98,True,112.94,1048576,1,
101,True,91.53,1048576,1,
105,True,87.52,1048576,1,
112,True,86.69,1048576,1,
110,True,90.60,1048576,1,
113,True,87.60,1048576,1,
111,True,92.22,1048576,1,
106,True,99.93,1048576,1,
109,True,96.86,1048576,1,
107,True,100.90,1048576,1,
108,True,102.86,1048576,1,
114,True,85.14,1048576,1,
116,True,83.80,1048576,1,
118,True,82.76,1048576,1,
121,True,78.30,1048576,1,
117,True,86.21,1048576,1,
120,True,84.43,1048576,1,
115,True,91.76,1048576,1,
119,True,87.83,1048576,1,
125,True,91.39,1048576,1,
124,True,94.45,1048576,1,
129,True,89.46,1048576,1,
128,True,92.40,1048576,1,
126,True,96.42,1048576,1,
123,True,101.37,1048576,1,
122,True,104.27,1048576,1,
127,True,98.31,1048576,1,
130,True,84.60,1048576,1,
137,True,76.47,1048576,1,
134,True,81.90,1048576,1,
135,True,81.94,1048576,1,
133,True,85.47,1048576,1,
132,True,88.51,1048576,1,
136,True,85.25,1048576,1,
131,True,93.38,1048576,1,
140,True,93.78,1048576,1,
141,True,94.15,1048576,1,
138,True,99.81,1048576,1,
139,True,99.53,1048576,1,
143,True,95.54,1048576,1,
144,True,94.38,1048576,1,
142,True,99.06,1048576,1,
145,True,95.40,1048576,1,
146,True,84.29,1048576,1,
149,True,81.76,1048576,1,
152,True,79.34,1048576,1,
150,True,83.12,1048576,1,
148,True,86.89,1048576,1,
151,True,84.47,1048576,1,
147,True,90.64,1048576,1,
153,True,85.13,1048576,1,
155,True,96.40,1048576,1,
160,True,93.00,1048576,1,
157,True,98.02,1048576,1,
154,True,103.56,1048576,1,
161,True,95.12,1048576,1,
158,True,100.64,1048576,1,
159,True,101.06,1048576,1,
156,True,106.34,1048576,1,
165,True,77.77,1048576,1,
164,True,81.09,1048576,1,
168,True,77.35,1048576,1,
167,True,81.18,1048576,1,
163,True,87.50,1048576,1,
162,True,91.78,1048576,1,
166,True,86.13,1048576,1,
169,True,84.66,1048576,1,
173,True,90.49,1048576,1,
177,True,85.20,1048576,1,
170,True,98.77,1048576,1,
176,True,90.41,1048576,1,
174,True,94.35,1048576,1,
171,True,100.76,1048576,1,
172,True,100.33,1048576,1,
175,True,99.63,1048576,1,
181,True,86.37,1048576,1,
180,True,90.28,1048576,1,
184,True,87.40,1048576,1,
178,True,97.45,1048576,1,
182,True,94.44,1048576,1,
179,True,100.20,1048576,1,
185,True,91.81,1048576,1,
183,True,99.44,1048576,1,
193,True,78.64,1048576,1,
192,True,83.31,1048576,1,
188,True,94.37,1048576,1,
186,True,101.61,1048576,1,
187,True,100.67,1048576,1,
189,True,97.67,1048576,1,
190,True,97.20,1048576,1,
191,True,97.17,1048576,1,
194,True,100.56,1048576,1,
196,True,96.86,1048576,1,
195,True,101.35,1048576,1,
198,True,98.60,1048576,1,
201,True,95.01,1048576,1,
199,True,101.36,1048576,1,
197,True,106.86,1048576,1,
200,True,104.89,1048576,1,
